Changes:
*****TTC_M24New_mag_5rnd, W, 900, 100 moved to mag seciton
*****TTC_Ammo_8mm, 1, 20, 12  has been corrected to: TTC_Ammo_8mm, *, 20, 12 (note the *)
*****TTC_TAVOR_DMR, W, 20000, 7500 duplicate removed
*****Renamed Weapons Parks to Barrels & Weapons
*****TTC_300Stanag, M, 200, 100 remove duplicate
*****Moved TTC_DMR_Bipod, *, 500, 200 to Attachemnts...it was in suppressors
*****Moved TTC_AKMOD_AFG, *, 500, 200 from Supressors to attachemnts

<Category> Mortys Weapons

TTC_KAC, W, 20000, 7500
TTC_MAS36, W, 20000, 7500
TTC_Winchester1873, W, 20000, 7500
TTC_kar98k, W, 20000, 7500
TTC_R700, W, 20000, 7500
TTCSR25, W, 20000, 7500
TTCSR25_Desert, W, 20000, 7500
TTCSR25_Snow, W, 20000, 7500
TTCSR25_OD, W, 20000, 7500
TTC_HK416Tan, W, 20000, 7500
TTC_HK416OD, W, 20000, 7500
TTC_HK416Black, W, 20000, 7500
TTC_SG552, W, 20000, 7500
TTC_SG552_Wood, W, 20000, 7500
TTC_SG552_Black, W, 20000, 7500
TTC_SG550, W, 20000, 7500
TTC_SG550_Black, W, 20000, 7500
TTC_SG550_Pink, W, 20000, 7500
TTC_M16, W, 20000, 7500
TTC_AEK973, W, 20000, 7500
TTC_M4DMR, W, 20000, 7500
TTC_M4DMROD, W, 20000, 7500
TTC_M4DMRDesert, W, 20000, 7500
TTC_FD338, W, 40000, 7500
TTC_AACHoney, W, 20000, 7500
TTC_AACHoney_B, W, 20000, 7500
TTC_AACHoney_300blk, W, 20000, 7500
TTC_AACHoney_300blk_B, W, 20000, 7500
TTC_M24, W, 40000, 7500
TTC_M24_Bjorn, W, 40000, 7500
TTC_M24_Woodland, W, 40000, 7500
TTC_M24_WoodlandOld, W, 40000, 7500
TTC_SCARHBlack, W, 20000, 7500
TTC_SCARL, W, 20000, 7500
TTC_SCARLSnow, W, 20000, 7500
TTC_SCARLBlack, W, 20000, 7500
TTC_M16A4, W, 20000, 7500
TTC_Beowulf, W, 40000, 7500
TTC_M82, W, 80000, 7500
TTC_M82_Tan, W, 80000, 7500
TTC_HKG28, W, 20000, 7500
TTC_LeeEnfield, W, 20000, 7500
TTC_M1Garand, W, 20000, 7500
TTC_M4Tac, W, 20000, 7500
TTC_M14, W, 20000, 7500
TTC_MRAD, W, 20000, 7500
TTC_XM2010, W, 20000, 7500
TTC_AK12, W, 20000, 7500
TTC_AK12_Worn, W, 20000, 7500
TTC_G3, W, 20000, 7500
TTC_M14_Camo, W, 20000, 7500
TTC_M14_Snow, W, 20000, 7500
TTC_Kimber, W, 7500, 3500
TTC_Mossberg, W, 20000, 7500
TTC_HK417, W, 20000, 7500
TTC_M9, W, 7500, 3500
TTC_AKMod, W, 20000, 7500
TTC_AKMod_Gold, W, 20000, 7500
TTC_AKMod_Snow, W, 20000, 7500
TTC_AKMod_Multi, W, 20000, 7500
TTC_AKMod_Digi, W, 20000, 7500
TTC_AKMod_Tan, W, 20000, 7500
TTC_AKModPK, W, 25000, 7500
TTC_AKModPK_Gold, W, 25000, 7500
TTC_AKModPK_Snow, W, 25000, 7500
TTC_AKModPK_Multi, W, 25000, 7500
TTC_AKModPK_Digi, W, 25000, 7500
